age,workclass,education,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,income
39,State-gov,Bachelors,Never-married,Adm-clerical,White,Male,2174,0,40,<=50K
50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0,0,13,<=50K
38,Private,HS-grad,Divorced,Handlers-cleaners,White,Male,0,0,40,<=50K
53,Private,11th,Married-civ-spouse,Handlers-cleaners,Black,Male,0,0,40,<=50K
28,Private,Bachelors,Married-civ-spouse,Prof-specialty,Black,Female,0,0,40,<=50K
37,Private,Masters,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,<=50K
49,Private,9th,Married-spouse-absent,Other-service,Black,Female,0,0,16,<=50K
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,0,0,45,>50K
31,Private,Masters,Never-married,Prof-specialty,White,Female,14084,0,50,>50K
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,5178,0,40,>50K
37,Private,Some-college,Married-civ-spouse,Exec-managerial,Black,Male,0,0,80,>50K
30,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,0,0,40,>50K
23,Private,Bachelors,Never-married,Adm-clerical,White,Female,0,0,30,<=50K
32,Private,Assoc-acdm,Never-married,Sales,Black,Male,0,0,50,<=50K
34,Private,7th-8th,Married-civ-spouse,Transport-moving,Amer-Indian-Eskimo,Male,0,0,45,<=50K
25,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,White,Male,0,0,35,<=50K
32,Private,HS-grad,Never-married,Machine-op-inspct,White,Male,0,0,40,<=50K
38,Private,11th,Married-civ-spouse,Sales,White,Male,0,0,50,<=50K
43,Self-emp-not-inc,Masters,Divorced,Exec-managerial,White,Female,0,0,45,>50K
40,Private,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,0,0,60,>50K
54,Private,HS-grad,Separated,Other-service,Black,Female,0,0,20,<=50K
35,Federal-gov,9th,Married-civ-spouse,Farming-fishing,Black,Male,0,0,40,<=50K
43,Private,11th,Married-civ-spouse,Transport-moving,White,Male,0,2042,40,<=50K
59,Private,HS-grad,Divorced,Tech-support,White,Female,0,0,40,<=50K
56,Local-gov,Bachelors,Married-civ-spouse,Tech-support,White,Male,0,0,40,>50K
19,Private,HS-grad,Never-married,Craft-repair,White,Male,0,0,40,<=50K
39,Private,HS-grad,Divorced,Exec-managerial,White,Male,0,0,80,<=50K
49,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,0,0,40,<=50K
23,Local-gov,Assoc-acdm,Never-married,Protective-serv,White,Male,0,0,52,<=50K
20,Private,Some-college,Never-married,Sales,Black,Male,0,0,44,<=50K
45,Private,Bachelors,Divorced,Exec-managerial,White,Male,0,1408,40,<=50K
30,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,White,Male,0,0,40,<=50K
22,State-gov,Some-college,Married-civ-spouse,Other-service,Black,Male,0,0,15,<=50K
48,Private,11th,Never-married,Machine-op-inspct,White,Male,0,0,40,<=50K
21,Private,Some-college,Never-married,Machine-op-inspct,White,Male,0,0,40,<=50K
19,Private,HS-grad,Married-AF-spouse,Adm-clerical,White,Female,0,0,25,<=50K
48,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,<=50K
31,Private,9th,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,43,<=50K
53,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,<=50K
24,Private,Bachelors,Married-civ-spouse,Tech-support,White,Male,0,0,50,<=50K
49,Private,HS-grad,Separated,Adm-clerical,White,Female,0,0,40,<=50K
25,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,0,0,35,<=50K
57,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Black,Male,0,0,40,>50K
53,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,38,<=50K
44,Private,Masters,Divorced,Exec-managerial,White,Female,0,0,40,<=50K
41,State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,White,Male,0,0,40,<=50K
29,Private,Assoc-voc,Never-married,Prof-specialty,White,Male,0,0,43,<=50K
25,Private,Some-college,Married-civ-spouse,Exec-managerial,Other,Female,0,0,40,<=50K
47,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Female,0,1902,60,>50K
50,Federal-gov,Bachelors,Divorced,Exec-managerial,White,Male,0,0,55,>50K
47,Self-emp-inc,HS-grad,Divorced,Exec-managerial,White,Male,0,0,60,<=50K
43,Private,Some-college,Married-civ-spouse,Tech-support,White,Male,0,0,40,>50K
46,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,<=50K
35,Private,Assoc-voc,Married-civ-spouse,Other-service,White,Male,0,0,40,<=50K
41,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,0,0,48,<=50K
30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,5013,0,40,<=50K
30,Private,Bachelors,Married-civ-spouse,Sales,White,Male,2407,0,40,<=50K
48,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,0,0,40,<=50K
42,Private,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,0,0,45,>50K
29,Private,Some-college,Divorced,Tech-support,White,Male,0,0,58,<=50K
36,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,0,0,40,<=50K
28,Private,Some-college,Divorced,Adm-clerical,White,Female,0,0,40,<=50K
53,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,>50K
49,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,White,Male,0,0,50,>50K
19,Private,Some-college,Never-married,Prof-specialty,White,Male,0,0,32,<=50K
31,Private,Bachelors,Separated,Sales,Black,Female,0,0,40,<=50K
29,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,White,Male,0,0,70,>50K
23,Private,Some-college,Never-married,Machine-op-inspct,White,Male,0,0,40,<=50K
79,Private,Some-college,Married-civ-spouse,Prof-specialty,White,Male,0,0,20,<=50K
27,Private,HS-grad,Never-married,Other-service,White,Male,0,0,40,<=50K
40,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,White,Male,0,0,40,<=50K
18,Private,11th,Never-married,Other-service,White,Female,0,0,22,<=50K
31,Local-gov,7th-8th,Married-civ-spouse,Farming-fishing,White,Male,0,0,40,<=50K
18,Private,HS-grad,Never-married,Sales,White,Male,0,0,30,<=50K
52,Private,Bachelors,Married-civ-spouse,Other-service,White,Male,0,0,40,<=50K
46,Private,HS-grad,Married-civ-spouse,Other-service,White,Female,0,0,40,<=50K
59,Private,HS-grad,Married-civ-spouse,Sales,White,Male,0,0,48,<=50K
44,Private,HS-grad,Divorced,Craft-repair,White,Female,14344,0,40,>50K
53,Private,HS-grad,Divorced,Sales,White,Female,0,0,35,<=50K
49,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,White,Male,0,0,40,>50K
33,Private,Masters,Married-civ-spouse,Prof-specialty,White,Male,0,0,50,<=50K
30,Private,9th,Never-married,Sales,White,Male,0,0,40,<=50K
43,Federal-gov,Doctorate,Never-married,Prof-specialty,White,Female,0,0,50,>50K
57,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,<=50K
37,Private,Some-college,Divorced,Craft-repair,White,Female,0,0,40,<=50K
28,Private,Some-college,Divorced,Machine-op-inspct,Black,Female,0,0,25,<=50K
34,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,White,Male,0,0,40,>50K
29,Local-gov,Some-college,Never-married,Handlers-cleaners,White,Male,0,0,50,<=50K
48,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,0,1902,60,>50K
37,Private,Some-college,Married-civ-spouse,Sales,White,Male,0,0,48,>50K
48,Private,Assoc-acdm,Divorced,Exec-managerial,White,Female,0,0,40,<=50K
32,Federal-gov,HS-grad,Never-married,Other-service,Black,Male,0,0,40,<=50K
76,Private,Masters,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,>50K
44,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,15024,0,60,>50K
47,Self-emp-not-inc,Masters,Never-married,Prof-specialty,White,Female,0,0,50,<=50K
20,Private,Some-college,Never-married,Tech-support,White,Female,0,0,40,<=50K
29,Private,HS-grad,Never-married,Craft-repair,White,Male,0,0,40,<=50K
32,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,7688,0,40,>50K
30,Private,11th,Never-married,Handlers-cleaners,White,Male,0,0,40,<=50K
31,Local-gov,HS-grad,Never-married,Adm-clerical,White,Female,0,0,40,<=50K
42,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Male,0,0,40,<=50K
24,Private,Bachelors,Never-married,Sales,White,Male,0,0,40,<=50K
38,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,>50K
56,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,White,Male,0,1887,50,>50K
28,Private,Some-college,Married-civ-spouse,Sales,White,Female,4064,0,25,<=50K
36,Private,HS-grad,Never-married,Machine-op-inspct,White,Female,0,0,40,<=50K
53,Private,9th,Married-civ-spouse,Handlers-cleaners,White,Male,0,0,50,<=50K
56,Self-emp-inc,Some-college,Married-civ-spouse,Sales,White,Male,0,0,50,<=50K
49,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Black,Male,0,0,40,>50K
55,Private,Some-college,Married-civ-spouse,Sales,White,Male,0,0,56,<=50K
22,Private,HS-grad,Never-married,Craft-repair,White,Male,0,0,41,<=50K
21,Private,Some-college,Never-married,Other-service,White,Female,0,0,40,<=50K
40,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0,0,60,<=50K
30,Private,Bachelors,Never-married,Exec-managerial,Black,Male,0,0,40,<=50K
29,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,0,0,50,>50K
19,Private,Some-college,Never-married,Other-service,Black,Male,0,0,35,<=50K
47,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,>50K
20,Private,Some-college,Never-married,Adm-clerical,White,Female,0,1719,28,<=50K
31,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,White,Male,0,0,40,>50K
39,Private,Some-college,Divorced,Craft-repair,White,Male,0,0,40,<=50K
28,Private,Assoc-acdm,Never-married,Sales,White,Female,0,0,60,<=50K
24,Private,HS-grad,Never-married,Other-service,White,Female,0,1762,40,<=50K
38,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,4386,0,35,<=50K
37,Private,Bachelors,Married-civ-spouse,Sales,White,Male,0,0,50,<=50K
46,Private,Assoc-acdm,Divorced,Tech-support,Black,Female,0,0,36,<=50K
38,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,>50K
43,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,0,0,60,<=50K
27,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,White,Female,0,0,35,<=50K
20,Private,Some-college,Never-married,Sales,White,Male,0,0,20,<=50K
49,Private,Some-college,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,0,0,40,>50K
61,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,0,0,40,<=50K
27,Private,Some-college,Never-married,Sales,White,Female,0,0,40,<=50K
19,Private,Some-college,Never-married,Other-service,White,Male,0,0,30,<=50K
45,Private,Assoc-voc,Never-married,Prof-specialty,White,Female,0,1564,40,>50K
70,Private,Some-college,Never-married,Tech-support,White,Male,0,0,40,<=50K
31,Private,HS-grad,Never-married,Transport-moving,Black,Female,0,0,30,<=50K
22,Private,Some-college,Married-civ-spouse,Other-service,White,Male,0,0,24,<=50K
36,Private,HS-grad,Widowed,Other-service,White,Female,0,0,24,<=50K
64,Private,11th,Married-civ-spouse,Craft-repair,White,Male,0,2179,40,<=50K
47,Local-gov,Some-college,Divorced,Adm-clerical,White,Female,0,0,38,<=50K
34,Private,HS-grad,Never-married,Adm-clerical,White,Female,0,0,40,<=50K
33,Private,Bachelors,Never-married,Exec-managerial,Asian-Pac-Islander,Female,0,0,40,<=50K
21,Private,HS-grad,Never-married,Craft-repair,White,Male,0,0,35,<=50K
48,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,0,0,46,<=50K
23,Private,Bachelors,Never-married,Handlers-cleaners,White,Male,0,0,40,<=50K
71,Self-emp-not-inc,Some-college,Separated,Sales,Black,Male,0,1816,2,<=50K
29,Private,HS-grad,Divorced,Craft-repair,White,Male,0,0,60,<=50K
42,Private,Bachelors,Separated,Other-service,Black,Male,0,0,50,<=50K
25,Private,HS-grad,Never-married,Other-service,White,Female,0,0,40,<=50K
44,Self-emp-inc,Masters,Divorced,Exec-managerial,Asian-Pac-Islander,Female,0,0,40,<=50K
28,Private,HS-grad,Never-married,Exec-managerial,Asian-Pac-Islander,Female,0,0,40,<=50K
45,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,White,Male,0,0,40,>50K
36,Private,Some-college,Divorced,Other-service,White,Female,0,0,40,<=50K
39,Federal-gov,Assoc-acdm,Never-married,Exec-managerial,White,Male,0,0,42,<=50K
46,State-gov,Masters,Widowed,Protective-serv,White,Male,0,0,40,<=50K
18,Private,11th,Never-married,Handlers-cleaners,White,Male,0,0,16,<=50K
66,Local-gov,Assoc-voc,Widowed,Prof-specialty,White,Female,0,0,20,<=50K
27,Private,HS-grad,Never-married,Other-service,White,Male,0,1980,40,<=50K
28,State-gov,HS-grad,Married-civ-spouse,Protective-serv,White,Male,0,0,40,<=50K
51,Private,Some-college,Married-civ-spouse,Sales,White,Male,0,1977,40,>50K
27,Private,Bachelors,Never-married,Craft-repair,White,Male,0,0,50,<=50K
28,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,>50K
27,Private,HS-grad,Married-spouse-absent,Sales,White,Female,0,0,25,<=50K
21,Private,HS-grad,Never-married,Craft-repair,Black,Male,0,0,40,<=50K
34,Private,HS-grad,Never-married,Handlers-cleaners,Black,Male,0,0,40,<=50K
18,Private,HS-grad,Never-married,Other-service,White,Male,0,0,12,<=50K
33,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,0,0,65,<=50K
44,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Black,Male,0,0,38,>50K
43,Private,Some-college,Divorced,Adm-clerical,White,Female,0,0,40,<=50K
30,Private,Some-college,Never-married,Craft-repair,Black,Male,0,0,45,<=50K
40,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,>50K
37,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,White,Male,0,0,42,>50K
34,Private,HS-grad,Married-civ-spouse,Adm-clerical,Black,Male,0,0,40,<=50K
41,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,White,Female,0,0,40,<=50K
31,Private,Masters,Married-civ-spouse,Prof-specialty,White,Female,0,0,50,<=50K
58,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,0,0,1,>50K
38,Private,Some-college,Divorced,Machine-op-inspct,Black,Female,0,0,28,<=50K
24,Private,Some-college,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,<=50K
41,Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Black,Male,0,0,40,<=50K
47,Private,Some-college,Married-civ-spouse,Tech-support,White,Male,0,0,45,<=50K
41,Federal-gov,Bachelors,Married-civ-spouse,Tech-support,White,Male,0,0,24,<=50K
23,Private,5th-6th,Married-civ-spouse,Transport-moving,White,Male,0,0,40,<=50K
36,Private,Some-college,Divorced,Craft-repair,White,Male,0,0,40,<=50K
40,Federal-gov,Masters,Never-married,Exec-managerial,White,Female,14084,0,55,>50K
35,Private,Masters,Married-civ-spouse,Prof-specialty,White,Male,7298,0,40,>50K
24,Self-emp-not-inc,HS-grad,Never-married,Sales,White,Male,0,0,40,<=50K
26,Private,Masters,Never-married,Prof-specialty,White,Female,0,1876,40,<=50K
51,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0,0,50,>50K
42,Local-gov,Some-college,Never-married,Prof-specialty,White,Female,0,1340,40,<=50K
37,State-gov,HS-grad,Divorced,Adm-clerical,White,Female,0,0,35,<=50K
18,Private,11th,Never-married,Sales,White,Female,0,0,40,<=50K
36,Private,Bachelors,Married-civ-spouse,Other-service,Black,Male,7298,0,36,>50K
35,Private,HS-grad,Divorced,Craft-repair,White,Male,0,0,60,<=50K
58,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,White,Female,15024,0,35,>50K
17,Private,11th,Never-married,Sales,White,Female,0,0,12,<=50K
44,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Black,Male,0,0,40,<=50K
37,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,0,0,40,>50K
35,Private,Some-college,Never-married,Sales,Amer-Indian-Eskimo,Female,0,0,40,<=50K
60,Private,HS-grad,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,0,0,40,<=50K
54,Self-emp-inc,7th-8th,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,>50K
37,Private,Bachelors,Never-married,Exec-managerial,Black,Male,0,0,60,>50K
50,Private,Assoc-acdm,Divorced,Sales,White,Female,0,0,40,<=50K
38,Private,Bachelors,Married-civ-spouse,Sales,White,Male,0,0,50,<=50K
45,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,0,0,55,<=50K
25,Private,10th,Never-married,Craft-repair,White,Male,0,0,40,<=50K
31,Private,Some-college,Married-civ-spouse,Handlers-cleaners,White,Male,0,0,40,<=50K
90,Private,HS-grad,Never-married,Other-service,Black,Male,0,2206,40,<=50K
54,Private,HS-grad,Married-civ-spouse,Adm-clerical,Black,Male,0,0,20,<=50K
53,Local-gov,Preschool,Never-married,Machine-op-inspct,White,Female,0,0,35,<=50K
18,Private,HS-grad,Never-married,Sales,White,Female,0,0,40,<=50K
66,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,White,Male,1409,0,50,<=50K
75,Private,Assoc-voc,Widowed,Adm-clerical,White,Female,0,0,20,<=50K
65,Private,HS-grad,Divorced,Adm-clerical,White,Female,0,0,40,<=50K
35,Private,11th,Separated,Transport-moving,Black,Male,3674,0,40,<=50K
41,Private,HS-grad,Divorced,Sales,Black,Female,0,0,38,<=50K
25,Private,Some-college,Never-married,Adm-clerical,White,Male,0,0,42,<=50K
33,Private,Some-college,Divorced,Craft-repair,Other,Female,0,0,40,<=50K
28,Private,Prof-school,Never-married,Prof-specialty,White,Male,0,0,55,>50K
59,State-gov,HS-grad,Married-civ-spouse,Other-service,White,Male,0,0,40,<=50K
40,State-gov,Some-college,Never-married,Adm-clerical,White,Female,0,0,38,<=50K
41,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0,0,50,>50K
38,Local-gov,Masters,Married-civ-spouse,Exec-managerial,White,Male,0,0,70,>50K
23,Private,HS-grad,Never-married,Transport-moving,White,Male,0,0,40,<=50K
